epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.322,0.80337,1.14131,1.28521,0.75574,0.78439,0.83078,0.65443,0.75715,0.95395,1.31059,0.00166033,0.00166033,0.0684537
2,389.904,0.77665,1.06408,1.25927,0.78446,0.78554,0.85789,0.68692,0.70424,0.89758,1.25831,0.00330504,0.00330504,0.0367651
3,588.374,0.78335,1.0498,1.26408,0.82966,0.79536,0.86937,0.70608,0.69467,0.84763,1.24679,0.00492775,0.00492775,0.00505449
4,788.789,0.78458,1.01888,1.2634,0.79411,0.78613,0.84819,0.66995,0.76937,0.94732,1.31721,0.004901,0.004901,0.004901
5,993.887,0.7914,1.03494,1.2717,0.71891,0.7915,0.827,0.6656,0.72422,0.99712,1.26705,0.004868,0.004868,0.004868
6,1198.83,0.7878,1.04772,1.26927,0.80185,0.82947,0.86842,0.68775,0.74008,0.85911,1.28237,0.004835,0.004835,0.004835
7,1403.52,0.78946,1.00312,1.26076,0.77383,0.79939,0.85901,0.68787,0.73573,0.9094,1.26668,0.004802,0.004802,0.004802
8,1604.65,0.77982,1.03795,1.26236,0.79171,0.8145,0.85958,0.68791,0.7521,0.86936,1.31257,0.004769,0.004769,0.004769
9,1837.16,0.77004,1.00483,1.25161,0.87401,0.81131,0.88915,0.71624,0.71022,0.82972,1.24916,0.004736,0.004736,0.004736
10,2085.36,0.76562,0.98166,1.24867,0.77227,0.81458,0.8633,0.70636,0.70528,0.86504,1.24307,0.004703,0.004703,0.004703
11,2321.01,0.75465,0.96296,1.24513,0.81077,0.83987,0.89084,0.71922,0.70952,0.82341,1.22955,0.00467,0.00467,0.00467
12,2571.94,0.74978,0.93148,1.23462,0.8165,0.80643,0.86369,0.70293,0.6923,0.83845,1.22057,0.004637,0.004637,0.004637
13,2820.4,0.74883,0.93638,1.23218,0.85765,0.80731,0.89408,0.72908,0.69668,0.8419,1.23497,0.004604,0.004604,0.004604
14,3075.87,0.74416,0.95529,1.23282,0.80029,0.82921,0.86489,0.70592,0.7178,0.83483,1.25842,0.004571,0.004571,0.004571
15,3324.52,0.73507,0.93924,1.21807,0.7904,0.79703,0.86431,0.70624,0.6834,0.85775,1.22536,0.004538,0.004538,0.004538
16,3566.69,0.73727,0.91817,1.22318,0.81651,0.82452,0.8796,0.71819,0.68811,0.81219,1.22676,0.004505,0.004505,0.004505
17,3813.27,0.74057,0.88343,1.22813,0.85306,0.84519,0.89875,0.74588,0.66649,0.73247,1.20262,0.004472,0.004472,0.004472
18,4059.02,0.74146,0.91335,1.22606,0.8175,0.83444,0.87154,0.72434,0.68569,0.77585,1.21536,0.004439,0.004439,0.004439
19,4306.03,0.72429,0.8941,1.21498,0.84633,0.83817,0.89801,0.74834,0.68844,0.74781,1.20368,0.004406,0.004406,0.004406
20,4549.63,0.72564,0.87241,1.21648,0.84689,0.80894,0.88317,0.7115,0.67742,0.78461,1.20783,0.004373,0.004373,0.004373
21,4788.16,0.72018,0.86995,1.21478,0.85033,0.84978,0.90344,0.74571,0.66375,0.76648,1.20335,0.00434,0.00434,0.00434
22,5046.61,0.72484,0.87761,1.22436,0.79663,0.80664,0.86571,0.71359,0.67643,0.80711,1.21035,0.004307,0.004307,0.004307
23,5295.83,0.72315,0.86286,1.20976,0.89012,0.86272,0.91525,0.76657,0.66341,0.69709,1.18572,0.004274,0.004274,0.004274
24,5545.84,0.70263,0.83476,1.19917,0.87895,0.86351,0.92108,0.78041,0.62765,0.67721,1.15109,0.004241,0.004241,0.004241
25,5797.95,0.69909,0.84592,1.2025,0.80358,0.85851,0.88519,0.7354,0.65849,0.75822,1.18443,0.004208,0.004208,0.004208
26,6065.77,0.70039,0.83659,1.20385,0.85426,0.84497,0.90098,0.75588,0.63169,0.70497,1.15549,0.004175,0.004175,0.004175
27,6350.23,0.69723,0.8308,1.1939,0.8992,0.84295,0.91567,0.7673,0.63187,0.6913,1.16067,0.004142,0.004142,0.004142
28,6643.06,0.68991,0.80778,1.18441,0.8559,0.86008,0.91221,0.77286,0.65653,0.68943,1.18908,0.004109,0.004109,0.004109
29,6923.83,0.6929,0.80417,1.19585,0.89374,0.83837,0.92186,0.77694,0.63738,0.65447,1.16842,0.004076,0.004076,0.004076
30,7203.26,0.68454,0.81857,1.18851,0.8892,0.84236,0.9115,0.76767,0.64539,0.71177,1.17765,0.004043,0.004043,0.004043
31,7495.86,0.68493,0.79849,1.19274,0.87127,0.85769,0.90844,0.77158,0.63899,0.69127,1.15734,0.00401,0.00401,0.00401
32,7776.15,0.6866,0.81327,1.18835,0.86405,0.84591,0.90725,0.75842,0.65086,0.69598,1.19163,0.003977,0.003977,0.003977
33,8057.9,0.69517,0.80172,1.196,0.89653,0.87739,0.92787,0.77728,0.64528,0.62095,1.17564,0.003944,0.003944,0.003944
34,8338.03,0.67133,0.76581,1.17135,0.82739,0.86066,0.88912,0.74655,0.66056,0.72168,1.19592,0.003911,0.003911,0.003911
35,8609.82,0.68872,0.78963,1.1881,0.87947,0.86502,0.91457,0.78227,0.6136,0.6567,1.14766,0.003878,0.003878,0.003878
36,8898.64,0.66825,0.74358,1.17608,0.85481,0.87094,0.90838,0.7697,0.61896,0.68528,1.15007,0.003845,0.003845,0.003845
37,9189.5,0.66088,0.76656,1.17266,0.89363,0.88385,0.92334,0.79135,0.60526,0.61904,1.14381,0.003812,0.003812,0.003812
38,9468.2,0.66256,0.76321,1.17267,0.86753,0.87031,0.91115,0.76862,0.61523,0.63004,1.15224,0.003779,0.003779,0.003779
39,9749.98,0.66472,0.73807,1.16636,0.90251,0.88386,0.9323,0.80259,0.60521,0.59298,1.12848,0.003746,0.003746,0.003746
40,10033.9,0.65897,0.73421,1.16696,0.89779,0.83517,0.91542,0.7831,0.61727,0.64237,1.13463,0.003713,0.003713,0.003713
41,10307.7,0.65644,0.7386,1.17119,0.88644,0.87908,0.92491,0.80065,0.61342,0.60531,1.14347,0.00368,0.00368,0.00368
42,10572.3,0.66502,0.76011,1.16865,0.9064,0.8616,0.92137,0.782,0.62325,0.64481,1.15082,0.003647,0.003647,0.003647
43,10860.5,0.64805,0.71369,1.16695,0.90196,0.87941,0.9243,0.7857,0.61296,0.61745,1.14626,0.003614,0.003614,0.003614
